exercise,equipment,difficulty,link,muscle,img_link,video_link,step
Barbell Curl,Barbell,Beginner,https://musclewiki.com/Barbell/Male/Biceps/Barbell-Curl,Biceps,https://www.musclewiki.com/media/uploads/male-barbell-curl-front_uKPCb8P.gif,https://youtu.be/0mylYdVWBf0,"1. While holding the upper arms stationary, curl the weights forward while contracting the biceps as you breathe out.
2. Continue the movement until your biceps are fully contracted and the bar is at shoulder level.
3. Hold the contracted position for a second and squeeze the biceps hard.
4. Slowly bring the weight back down to the starting position."
Dumbbell Curl,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Biceps/Dumbbell-Curl,Biceps,https://www.musclewiki.com/media/uploads/male-dumbbell-curl-front.gif,https://youtu.be/EU4HlSIpj5Y,"1. Stand up straight with a dumbbell in each hand at arm's length.
2. Raise one dumbbell and twist your forearm until it is vertical and your palm faces the shoulder.
3. Lower to original position and repeat with opposite arm"
Dumbbell Hammer Curl,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Biceps/Dumbbell-Hammer-Curl,Biceps,https://www.musclewiki.com/media/uploads/male-dumbbell-hammer-curl-front_JbvhNLU.gif,https://youtu.be/Dh3_gou_3TE,"1. Hold the dumbbells with a neutral grip (thumbs facing the ceiling).
2. Slowly lift the dumbbell up to chest height
3. Return to starting position and repeat."
Goblet Curl,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Biceps/Goblet-Curl,Biceps,https://www.musclewiki.com/media/uploads/male-kettlebell-goblet-curl-front_BYaNghv.gif,https://youtu.be/oYmItLMNFg0,"1. Stand up straight with a kettlebell in both hands in front of your pelvis.
2. Raise the kettlebell bending your arms at the elbow until the kettlebell is level with your chest.
3. Lower to the starting position and repeat."
Single Arm Curl,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Biceps/Single-Arm-Curl,Biceps,https://www.musclewiki.com/media/uploads/male-kettlebell-single-arm-curl-front.gif,https://youtu.be/jiheWHzzIJ4,"1. Stand up straight with a kettlebell in one hand with your forearm facing out.
2. Raise the kettlebell, bending your arm at the elbow and keeping your forearm vertical until your palm faces the shoulder.
3. Lower to the starting position and repeat."
Biceps Stretch Variation Five,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Biceps/Biceps-Stretch-Variation-Five,Biceps,https://www.musclewiki.com/media/uploads/male-biceps-stretch-variation-5-front.gif,https://www.youtube.com/watch?v=7jXK9pNJdJg%7C,"1. Stand upright with your feet shoulder width apart.
2. Raise your arms out to your sides, bringing them up to shoulder level.
3. Rotate your palms so they are facing the ceiling.
4. Then, change direction and rotate the arms as much as you can."
Biceps Stretch Variation Four,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Biceps/Biceps-Stretch-Variation-Four,Biceps,https://www.musclewiki.com/media/uploads/male-biceps-stretch-variation-4-front.gif,https://www.youtube.com/watch?v=IRxy-WjmBRs%7C,"1. Stand an arms width away from the wall.
2. Raise your arms out behind you, and place them on the wall with your fingers pointing up.
3. Bend your knees whilst keeping your hands in the same position."
Biceps Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Biceps/Biceps-Stretch-Variation-Three,Biceps,https://www.musclewiki.com/media/uploads/male-biceps-stretch-variation-3-front.gif,https://www.youtube.com/watch?v=koCz9-ZVjRg%7C,"1. Bend your arm at the elbow, raising your hand to your shoulder.
2. Using your other hand, stretch the arm down to its full extent."
Biceps Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Biceps/Biceps-Stretch-Variation-Two,Biceps,https://www.musclewiki.com/media/uploads/male-biceps-stretch-variation-2-front.gif,https://www.youtube.com/watch?v=_qFHL-DoHG8%7C,"1. Stand facing the wall, an arm's width away.
2. Place your hand on the wall with your fingers pointing down.
3. Lean slightly into the wall to feel the stretch in your bicep."
Biceps Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Biceps/Biceps-Stretch-Variation-One,Biceps,https://www.musclewiki.com/media/uploads/male-biceps-stretch-variation-1-front.gif,https://youtu.be/KPMttUk2xM8,"1. Stand one foot in front of the other with the wall to your right, an arms width away.
2. Place your hand on the wall, fingers pointing away from you.
3. Gently lean forward, keeping your hand stationary.
4. Repeat with the other arm."
Bayesian Curl,Cables,Beginner,https://musclewiki.com/Cables/Male/Biceps/Bayesian-Curl,Biceps,https://www.musclewiki.com/media/uploads/male-cable-bayesian-curl-front.gif,https://youtu.be/wMOxt5_1Muc,"1. Use a handle attachment. The cable should be set all the way to the bottom of the machine.
2. Face away from the cable machine.
3. Stagger your stance so you have a better base of support. Face your palm forward. Flex at the elbow and extend."
Cable Hammer Curl,Cables,Beginner,https://musclewiki.com/Cables/Male/Biceps/Cable-Hammer-Curl,Biceps,https://www.musclewiki.com/media/uploads/male-cable-hammer-curl-front.gif,https://youtu.be/tOxNeSx_P70,"1. Use a handle attachment. The cable should be set all the way to the bottom of the machine.
2. Face away from the cable machine. Stagger your stance so you have a better base of support.
3. Use a neutral grip thumb facing up pinky-facing down). Flex at the elbow and extend."
Curl,Band,Beginner,https://musclewiki.com/Band/Male/Biceps/Curl,Biceps,https://www.musclewiki.com/media/uploads/male-band-curl-side_jCh7V4c.gif,https://youtu.be/M0DeG7ptAes,"1. Attach band to a low anchor point. Point your palms straight forward.
2. Flex your elbow until you feel your biceps contract. Then fully extend elbows."
Kneeling Single Arm Pulldown,Band,Beginner,https://musclewiki.com/Band/Male/Biceps/Kneeling-Single-Arm-Pulldown,Biceps,https://www.musclewiki.com/media/uploads/male-band-kneeling-single-arm-pulldown-front.gif,https://youtu.be/2bA1aTxHm5U,"1. Place the band at about eye level. Fall into a kneeling position.
2. The knee that is on the ground should be the same side as the working arm. Stick your chest out.
3. And then pull your elbow straight back. Flex your lats and then extend into the starting position."
