exercise,equipment,difficulty,link,img_link,video_link,step
Standing Calf Raises,Machine,Beginner,https://musclewiki.com/Machine/Male/Calves/Standing-Calf-Raises,https://www.musclewiki.com/media/uploads/StandingCalfRaises-Front-021316.gif,https://www.youtube.com/watch?v=UOVRxVYExss%7C,"1. Adjust the machine in accordance with your height and place your shoulders underneath the padded lever.
2. The balls of your feet should be supporting your weight on the calve block, your heels extending off of it.
3. Extend your heels upwards while keeping your knees stationary, and pause at the contracted position.
4. Slowly return to the starting position. Repeat."
Seated Calf Raises,Machine,Beginner,https://musclewiki.com/Machine/Male/Calves/Seated-Calf-Raises,https://www.musclewiki.com/media/uploads/SeatedCalfRaises-Front-021316.gif,https://www.youtube.com/watch?v=IdzC0c07iX8%7C,"1. Get comfortable on the machine, then place your lower thighs beneath the padded lever. Place your toes and the balls of your feet onto the foot supports.
2. Prevent the weight from slipping forward by gripping the handles, and release the safety bar. Lower the weight until your calves are extended.
3. Push your heels up to lift the padded lever and hold the contracted position, then slowly lower back down to the starting position. Repeat."
Single Leg Calf Raise,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Calves/Single-Leg-Calf-Raise,https://www.musclewiki.com/media/uploads/kettlebell-male-sl-calf-raises-front.gif,https://youtu.be/chKcqDX6-CI,"1. Standing straight with a kettlebell in one hand, lift the same foot as the side without the kettlebell off the floor.
2. Raise your heel upwards while keeping your knees stationary.
3. Pause when your heels are fully extended and then slowly return to the starting position and repeat."
Kettlebell Calf Raise,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Calves/Kettlebell-Calf-Raise,https://www.musclewiki.com/media/uploads/kettlebell-male-calf-raises-front.gif,https://youtu.be/EtVgsp-4z4I,"1. Standing straight with a kettlebell in each hand, raise your heels upwards while keeping your knees stationary.
2. Pause when your heels are fully extended and then slowly return to the starting position and repeat."
Kettlebell Seated Calf Raise,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Calves/Kettlebell-Seated-Calf-Raise,https://www.musclewiki.com/media/uploads/kettlebell-male-seated-calf-raises-front.gif,https://youtu.be/ZcrQO5j9xVc,"1. Sitting comfortably on a chair with your core stomach muscles engaged, place your feet on the floor.
2. Place the kettlebell on your legs, just above the knees and raise your heels upwards off the floor.
3. Pause when your heels are fully extended and then slowly return to the starting position and repeat."
Calves Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Calves/Calves-Stretch-Variation-Three,https://www.musclewiki.com/media/uploads/male-strech-19-front.gif,https://youtu.be/X0BCgvBh7xs,"1. Balance the balls of your feet on the platform, leaning forward to use the wall to assist with balance. Engage your calves so that your feet are flat before beginning the stretch.
2. Lower the heels of your feet towards the ground and pause, then push through the balls of your feet like you are standing tip toe, pausing at the apex of the stretch.
3. Repeat as necessary."
Calves Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Calves/Calves-Stretch-Variation-Two,https://www.musclewiki.com/media/uploads/male-strech-20-front.gif,https://youtu.be/nVX4f3pxMBY,"1. With both feet flat on the ground, place one leg in front of your shoulder, your other leg should mirror this position behind your other shoulder. In the starting position both of your knees should be straight.
2. Place the palms of your hands against the wall at shoulder height in front of you, lean towards the wall and bend your front leg at the knee while keeping your back leg straight.
3. Pause at the apex of the stretch and return to the starting position. Switch the position of your legs and repeat."
Calves Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Calves/Calves-Stretch-Variation-One,https://www.musclewiki.com/media/uploads/male-strech-21-front.gif,https://youtu.be/k3-yr6Mx3Rs,"1. Place the ball of your foot against the wall with your heel on the ground. Place your hands on the wall in front of your shoulders.
2. Keeping your knee straight, slowly lean towards the wall, pause for a few seconds when you feel the stretch extending through your calf muscle.
3. Return to the starting position, and repeat the stretch with your other leg."
Tip Toe Walking,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Calves/Tip-Toe-Walking,https://www.musclewiki.com/media/uploads/bodyweight-male-tiptoewalk-front.gif,https://youtu.be/lxUolcyfzzQ,"1. Point your toes into the floor.
2. Slowly walk forwards and backward
3. Keep your heels in the air as long as possible while walking.
4. It may be beneficial to do this last at the end of your workout."
Calf Raises,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Calves/Calf-Raises,https://www.musclewiki.com/media/uploads/bodyweight-male-calveraise-front.gif,https://youtu.be/SbzE8-zB20A,"1. Balance on the balls of your feet on the platform or plates, leaning forward to use the wall to assist with balance.
2. Lower the heels of your feet towards the ground and pause, then push through the balls of your feet like you are standing tip toe, pausing at the apex of the motion.
3. Repeat as necessary."
