exercise,equipment,difficulty,link,img_link,video_link,step
Dumbbells Wrist Curl,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Forearms/Dumbbells-Wrist-Curl,https://www.musclewiki.com/media/uploads/male-db-wristflex-front.gif,https://youtu.be/yrSe6GI16DU,"1. Grip the dumbbell with your palm facing upwards with your forearm rested against the bench.
2. Slowly curl your wrist upwards in a semicircular motion.
3. Return to starting position and repeat."
Barbell Wrist Curl,Barbell,Beginner,https://musclewiki.com/Barbell/Male/Forearms/Barbell-Wrist-Curl,https://www.musclewiki.com/media/uploads/barbell-wristcurl-male-front.gif,https://youtu.be/si9MtuEcCc4,"1. Grab a straight bar with a supinated (underhand) grip.
2. Kneel down next to a flat bench and place your forearms on the bench with your wrists just off the bench.
3. Let the barbell pull down on your wrists until they are extended.
4. Curl the barbell until your wrists are fully flexed.
5. Lower in a controlled manner and repeat."
Farmers Carry,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Forearms/Farmers-Carry,https://www.musclewiki.com/media/uploads/kettlebell-male-farmers-carry-front.gif,https://youtu.be/w3GqfqD4Sb4,"1. Standing straight with a kettlebell in one hand, lift the knee of one leg off the floor to knee height.
2. Bring the leg back to standing and repeat with the other leg, keeping the kettlebell on the same side.
3. Repeat."
Kettlebell Wrist Extension,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Forearms/Kettlebell-Wrist-Extension,https://www.musclewiki.com/media/uploads/kettlebell-male-wrist-extension-front.gif,https://youtu.be/eMv3q7r9n9A,"1. Stand up straight with a kettlebell in both hands in front of your pelvis, with your forearms facing inwards.
2. Flex your wrist upwards until wrists are fully extended.
3. Lower to the starting position and repeat."
Kettlebell Wrist Curl,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Forearms/Kettlebell-Wrist-Curl,https://www.musclewiki.com/media/uploads/kettlebell-male-wrist-curl-front.gif,https://youtu.be/kU3wyBBi-BY,"1. Stand up straight with a kettlebell in both hands in front of your pelvis, with your forearms facing outwards.
2. Flex your wrist towards your body until the kettlebell is level with your stomach.
3. Lower to the starting position and repeat."
Forearms Stretch Variation Four,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Forearms/Forearms-Stretch-Variation-Four,https://www.musclewiki.com/media/uploads/male-strech-16-front.gif,https://youtu.be/UZ5zLixqLw0,"1. Raise your arm to shoulder height at 90 degrees to your body.
2. Press lightly on your hand and push towards you.
3. Rotate the arm across your body.
4. Switch sides and repeat."
Forearms Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Forearms/Forearms-Stretch-Variation-Three,https://www.musclewiki.com/media/uploads/male-strech-18-front.gif,https://youtu.be/_hTBeb5f4eI,"1. Place your hands together.
2. Rotate your arms and hands 180 degrees.
3. Hold at the peak of the stretch.
4. Return to starting position."
Forearms Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Forearms/Forearms-Stretch-Variation-Two,https://www.musclewiki.com/media/uploads/male-strech-6-front.gif,https://youtu.be/_qFHL-DoHG8,"1. Place your hand against a wall, palms facing upward, with finger tips touching.
2. Hold at the peak of the stretch.
3. Return to starting position.
4. Slowly lean into your palm."
Forearms Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Forearms/Forearms-Stretch-Variation-One,https://www.musclewiki.com/media/uploads/male-strech-7-front.gif,https://youtu.be/KPMttUk2xM8,"1. Place your palm flush against the wall.
2. Take one step forward and straighten your arm slowly to extend your bicep.
3. Hold at the peak of the stretch.
4. Return to starting position."
Inverted Row,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Biceps/Inverted-Row,https://www.musclewiki.com/media/uploads/bodyweight-male-reverse-row-front.gif,https://youtu.be/EuT4-4OFySE,"1. Lay underneath a fixed horizontal bar and grab the bar with a wide overhand grip.
2. Pull your body straight up to the bar.
3. Return to the starting position, your arms fully extended. Repeat."
Cable Hammer Curl,Cables,Beginner,https://musclewiki.com/Cables/Male/Biceps/Cable-Hammer-Curl,https://www.musclewiki.com/media/uploads/male-cable-hammer-curl-front.gif,https://youtu.be/tOxNeSx_P70,"1. Use a handle attachment. The cable should be set all the way to the bottom of the machine.
2. Face away from the cable machine. Stagger your stance so you have a better base of support.
3. Use a neutral grip thumb facing up pinky-facing down). Flex at the elbow and extend."
Dumbbell Row Unilateral,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Biceps/Dumbbell-Row-Unilateral,https://www.musclewiki.com/media/uploads/male-dumbbell-unilateral-row-side.gif,https://youtu.be/lOsU4wCPY2o,"1. Brace your off arm against something stable (bench, box). Stagger your stance so your leg on the side of your working arm is back.
2. Try to get your torso to parallel with the ground. That will extend your range of motion.
3. Let your arm hang freely and then pull your elbow back. Imagine you've got a tennis ball in your armpit and squeeze it each rep."
Dumbbell Wrist Extension,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Forearms/Dumbbell-Wrist-Extension,https://www.musclewiki.com/media/uploads/male-db-wristext-side.gif,https://youtu.be/xOdhxL4vMAs,"1. Grab two dumbbells with an overhand grip and lay your forearms across your knees.
2. Let your wrists flex fully, then extend your wrists."
