exercise,equipment,difficulty,link,img_link,video_link,step
Machine Hamstring Curl,Machine,Beginner,https://musclewiki.com/Machine/Male/Hamstrings/Machine-Hamstring-Curl,https://www.musclewiki.com/media/uploads/ProneLegCurl-Back-021316.gif,https://www.youtube.com/watch?v=KXYwW0v9gpM%7C,"1. Lay down on the machine, placing your legs beneath the padded lever. Position your legs so that the padded lever is below your calve muscles.
2. Support yourself by grabbing the side handles of the machine, and slowly raise the weight with your legs, toes pointed straight.
3. Pause at the apex of the motion, then slowly return to starting position."
Kettlebell Deadlift,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Hamstrings/Kettlebell-Deadlift,https://www.musclewiki.com/media/uploads/kettlebell-male-deadlift-front_Omfp4bo.gif,https://youtu.be/Cenw3VFlmWc,"1. Stand with your feet shoulder width apart holding the kettlebell with both hands in front of your thighs.
2. Bend forward at the hips bringing the kettlebell to the floor while you slightly bend your knees, keeping your back straight.
3. Return to standing position and repeat."
Staggered Deadlift,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Hamstrings/Staggered-Deadlift,https://www.musclewiki.com/media/uploads/kettlebell-male-staggereddeadlift-front.gif,https://youtu.be/sjeoL90gh-A,"1. Stand with your feet shoulder width apart, shifting one foot behind you. Hold the kettlebell in both hands in front of your thighs.
2. Bend forward at the hips bringing the kettlebell to the floor while you slightly bend your knees and keep your back straight.
3. Return to the upright position and repeat."
Hamstrings Stretch Variation Four,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Hamstrings/Hamstrings-Stretch-Variation-Four,https://www.musclewiki.com/media/uploads/male-strech-25-front_52zZrMK.gif,https://youtu.be/FNPn7zd_HY4,"1. Sit on the floor with your legs out in front of you.
2. Reach forward to try and touch your toes. Reach as far forward as you can go.
3. Hold the stretch for a few seconds then return to starting position."
Hamstrings Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Hamstrings/Hamstrings-Stretch-Variation-Three,https://www.musclewiki.com/media/uploads/male-strech-26-front.gif,https://youtu.be/MD903_L80HM,"1. Sit on the floor with one leg outstretched and the other bent at the knee, foot resting on the opposite inner thigh.
2. Reach forward to touch the toes of the outstretched leg.
3. Hold the stretch for a few seconds then return to starting position."
Hamstrings Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Hamstrings/Hamstrings-Stretch-Variation-Two,https://www.musclewiki.com/media/uploads/male-strech-27-front.gif,https://youtu.be/BNMW-IbFBuw,"1. Bend your rear leg as much as you can, keeping the front leg straight.
2. Hold the stretch for a few seconds then return to starting position.
3. Stand with one foot in front of the other."
Hamstrings Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Hamstrings/Hamstrings-Stretch-Variation-One,https://www.musclewiki.com/media/uploads/male-strech-28-front.gif,https://youtu.be/xChPnUS2qDM,"1. Lie down with your legs reaching up the wall. your bum should be slightly off the floor.
2. Bend one leg and leave the other outstretched.
3. Push your thigh towards the wall.
4. Hold the stretch for a few seconds then return to starting position."
Good Mornings,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Hamstrings/Good-Mornings,https://www.musclewiki.com/media/uploads/bodyweight-male-goodmornings-front.gif,https://youtu.be/Zd_1yd6VtiA,"1. Stand with your feet a little past shoulder width apart with a slight bend at your knee. Place your hands behind the back of your head.
2. Keeping your back straight, rotate your hips to bring your shoulders down towards the floor. Stop when your chest is parallel with the floor."
Kickbacks,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Hamstrings/Kickbacks,https://www.musclewiki.com/media/uploads/bodyweight-male-glutekickback-front.gif,https://youtu.be/qUMeeIxJLwU,"1. Get down on all fours and position your hands under your shoulders and your knees under your hips.
2. Kick back with one leg and squeeze your glutes.
3. Slowly return to starting position by bending your knee and lowering your leg.
4. Switch Legs. Repeat."
Single Legged Romanian Deadlifts,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Hamstrings/Single-Legged-Romanian-Deadlifts,https://www.musclewiki.com/media/uploads/bodyweight-male-single-leg-romainian-deadlift-front.gif,https://youtu.be/gb3VAvmhW84,"1. Stand with your feet shoulder-width apart and knees slightly bent and raise one leg.
2. Without changing the bend in your knee, bend at your hips, and lower your torso until it's almost parallel to the floor.
3. Tense your glutes and then bring yourself back to the starting position."
