exercise,equipment,difficulty,link,img_link,video_link,step
Neutral Grip Pulldown,Machine,Beginner,https://musclewiki.com/Machine/Male/Lats/Neutral-Grip-Pulldown,https://www.musclewiki.com/media/uploads/NeutralGripPulldown-Front-021316.gif,https://www.youtube.com/watch?v=Mz60YgWiI1U%7C,"1. Grip the bar with the palms facing forward, your hands need to be spaced out at a distance wider than shoulder width.
2. As you have both arms extended in front of you holding the bar, bring your torso back around 30 degrees while sticking your chest out.
3. Pull the bar down to about chin level or a little lower in a smooth movement whilst squeezing the shoulder blades together.
4. After a second of squeezing, slowly raise the bar back to the starting position when your arms are fully extended."
Seated Cable Row,Machine,Beginner,https://musclewiki.com/Machine/Male/Lats/Seated-Cable-Row,https://www.musclewiki.com/media/uploads/SeatedCableRow-Front-021316.gif,https://www.youtube.com/watch?v=-gLQHqEtEpY%7C,"1. Sit with your back straight on the machine and grip the handles.
2. Pull the handles back using your arms. Your legs and torso should be at a 90° angle. Push out your chest.
3. Pull the handles towards your body until your hands are beside your abdomen."
Kettlebell Row,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Lats/Kettlebell-Row,https://www.musclewiki.com/media/uploads/kettlebell-male-row-front.gif,https://youtu.be/DpflFvJnjxo,"1. Stand with your feet shoulder width apart holding the kettlebell with both hands in front of your thighs.
2. Bend forward at the hips bringing the kettlebell to the floor while you slightly bend your knees, keeping your back straight.
3. Lift the kettlebell upwards towards your chest and lower - repeat."
Single Arm Row,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Lats/Single-Arm-Row,https://www.musclewiki.com/media/uploads/kettlebell-male-sarow-side.gif,https://youtu.be/pUNI4au9d24,"1. Stand with your feet shoulder width apart, shifting one foot behind you. Hold the kettlebell in the same hand as the leg shifted backwards.
2. Bend forwards at the hips bringing the kettlebell to the floor while you slightly bend your knee, keeping your back straight.
3. Lift the kettlebell upwards towards your chest and lower - repeat."
Lats Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Lats/Lats-Stretch-Variation-Three,https://www.musclewiki.com/media/uploads/male-strech-11-front.gif,https://youtu.be/goQAAe4HzdA,"1. Find a wall to lean against, lay your tricep against the wall with your hand behind your back.
2. Slowly lean into the wall.
3. Return to starting position, then switch sides."
Lats Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Lats/Lats-Stretch-Variation-Two,https://www.musclewiki.com/media/uploads/male-strech-2-front.gif,https://youtu.be/9RaJgODaf7w,"1. Stand up right and raise your hand to a full stretch above your head.
2. Slowly lean across your body and trace the opposite hand down your leg.
3. Hold at the bottom of the stretch, return to starting position and then switch sides."
Lats Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Lats/Lats-Stretch-Variation-One,https://www.musclewiki.com/media/uploads/male-strech-37-front.gif,https://youtu.be/RRcKHHEQ3wI,"1. Place both hands on the wall in front of you.
2. Slowly lower your body until you feel the stretch.
3. Hold at the bottom of the stretch, return to starting position."
Inverted Row,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Biceps/Inverted-Row,https://www.musclewiki.com/media/uploads/bodyweight-male-reverse-row-front.gif,https://youtu.be/EuT4-4OFySE,"1. Lay underneath a fixed horizontal bar and grab the bar with a wide overhand grip.
2. Pull your body straight up to the bar.
3. Return to the starting position, your arms fully extended. Repeat."
Kneeling Single Arm Pulldown,Band,Beginner,https://musclewiki.com/Band/Male/Biceps/Kneeling-Single-Arm-Pulldown,https://www.musclewiki.com/media/uploads/male-band-kneeling-single-arm-pulldown-side.gif,https://youtu.be/hGXi-ztgU6g,"1. Place the band at about eye level. Fall into a kneeling position.
2. The knee that is on the ground should be the same side as the working arm. Stick your chest out.
3. And then pull your elbow straight back. Flex your lats and then extend into the starting position."
Row,Band,Beginner,https://musclewiki.com/Band/Male/Lats/Row,https://www.musclewiki.com/media/uploads/band-male-row-front.gif,https://youtu.be/mbaGqVotoG4,no data
Dumbbell Row Unilateral,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Biceps/Dumbbell-Row-Unilateral,https://www.musclewiki.com/media/uploads/male-dumbbell-unilateral-row-side.gif,https://youtu.be/lOsU4wCPY2o,"1. Brace your off arm against something stable (bench, box). Stagger your stance so your leg on the side of your working arm is back.
2. Try to get your torso to parallel with the ground. That will extend your range of motion.
3. Let your arm hang freely and then pull your elbow back. Imagine you've got a tennis ball in your armpit and squeeze it each rep."
