exercise,equipment,difficulty,link,img_link,video_link,step
Side Lateral Raises,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Shoulders/Side-Lateral-Raises,https://www.musclewiki.com/media/uploads/male-dumbbell-lateral-raise-front.gif,https://youtu.be/CJkGhtivFis,"1. Stand up straight with dumbbells at either side, palms facing your hips.
2. Raise your arms on either side with a slight bend in your elbow until they are parallel with the floor. Pause at the top of the motion.
3. Slowly return your arms down to starting position."
Seated Dumbbell Shoulder Press,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Shoulders/Seated-Dumbbell-Shoulder-Press,https://www.musclewiki.com/media/uploads/male-dumbbell-seated-shoulder-press-front.gif,https://www.youtube.com/watch?v=8HnbEetpoIg%7C,"1. Sit on a bench with back support. Raise the dumbbells to shoulder height with your palms forward.
2. Raise the dumbbells upwards and pause at the contracted position.
3. Lower the weights back to starting position."
Front Raises,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Shoulders/Front-Raises,https://www.musclewiki.com/media/uploads/male-dumbbell-front-raise-side.gif,https://youtu.be/vp_4BaApbGw,"1. Grab two dumbbells while standing upright with the dumbbells at your side.
2. Raise the two dumbbells with your elbows being fully extended until the dumbbells are eye level.
3. Lower the weights in a controlled manner to the starting position and repeat."
Rear Delt Row,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Shoulders/Rear-Delt-Row,https://www.musclewiki.com/media/uploads/kettlebell-male-reardeltrow-front.gif,https://youtu.be/qOpOzVJUNY8,"1. Stand with your feet shoulder width apart, holding the kettlebell with both hands in front of your thighs.
2. Bend forward at the hips bringing the kettlebell to the floor while you slightly bend your knees, keeping your back straight.
3. Lift the kettlebell upwards towards your upper chest and then lower the kettlebell- repeat."
Kettlebell Front Raise,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Shoulders/Kettlebell-Front-Raise,https://www.musclewiki.com/media/uploads/kettlebell-male-frontraise-front.gif,https://youtu.be/OgIUqIjIxM8,"1. Stand up straight with feet shoulder width apart, holding the kettlebell in front of your pelvis.
2. Keeping arms straight, raise the kettlebell slightly higher than head level.
3. Return to the starting position and repeat."
Single Arm Lateral Raise,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Shoulders/Single-Arm-Lateral-Raise,https://www.musclewiki.com/media/uploads/kettlebell-male-salateralraise-front.gif,https://youtu.be/fzEI7L3jv2M,"1. Stand with feet shoulder width apart holding a kettlebell with one hand at your side.
2. Keeping your arm straight, swing the kettlebell up and out, away from your body to around head height.
3. Return to the starting position and repeat."
Shoulders Stretch Variation Four,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Shoulders/Shoulders-Stretch-Variation-Four,https://www.musclewiki.com/media/uploads/male-strech-43-front_73MazEY.gif,https://youtu.be/mpPbbH481a4,"1. Stand with you feet shoulder width apart. Place one arm across the front of your chest at shoulder height, press the forearm of your other arm above the elbow, hooking the stretching arm with your hand.
2. Press the arm until it is straight and rotate your upper torso to engage the stretch even deeper.
3. Repeat with your other arm."
Shoulders Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Shoulders/Shoulders-Stretch-Variation-Three,https://www.musclewiki.com/media/uploads/male-strech-44-front.gif,https://youtu.be/NQMe2sFiOL4,"1. Place the top of your hand into the small of your back, your arm at a 90 degree angle.
2. Hold your elbow with the other arm, and slowly pull the arm forward until you feel your shoulder engaged in the stretch. Pause at the apex of the stretch and return to the starting position.
3. Return to starting position, and repeat with your other arm."
Shoulders Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Shoulders/Shoulders-Stretch-Variation-Two,https://www.musclewiki.com/media/uploads/male-strech-45-front.gif,https://youtu.be/ZEqdx05Z6K0,"1. Start with your arms at either side. Begin by pushing your shoulders forward and in towards your chest.
2. Repeat as necessary.
3. Continue the circular motion with your shoulders, pinching up towards your ears, and then extending your chest outwards while you finish the motion."
Shoulders Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Shoulders/Shoulders-Stretch-Variation-One,https://www.musclewiki.com/media/uploads/male-strech-9-front.gif,https://youtu.be/UFCLH__899A,"1. Reach one arm behind your body, with your elbow pointing upward behind your head.
2. Assist the stretch with your other hand on your elbow to engage your shoulder.
3. Pause for a few seconds, then repeat the stretch with your other arm."
