exercise,equipment,difficulty,link,muscle,img_link,video_link,step
Dumbbell Seated Shrug,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Traps/Dumbbell-Seated-Shrug,Traps,https://www.musclewiki.com/media/uploads/male-dumbbell-seated-shrug-front.gif,https://www.youtube.com/watch?v=tF2jihIdLDc%7C,"1. Sit on a bench with dumbbells in both hands, palms facing your body, back straight.
2. Elevate your shoulders and hold the contracted position at the apex of the motion.
3. Slowly lower your shoulders back to starting position."
Standing Smith Machine Shrugs,Machine,Beginner,https://musclewiki.com/Machine/Male/Traps/Standing-Smith-Machine-Shrugs,Traps,https://www.musclewiki.com/media/uploads/male-standing-smith-machine-shrugs-front.gif,https://www.youtube.com/watch?v=137KPCKrG88%7C,"1. Place the bar on a lower rung so that when gripped your arms are fully extended and your back is straight.
2. Grip at shoulder width, raise the bar with your shoulders and pause at the contracted position.
3. Slowly lower the bar back to starting position."
Kettlebell Shrug,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Traps/Kettlebell-Shrug,Traps,https://www.musclewiki.com/media/uploads/male-kettlebell-shrug-front.gif,https://youtu.be/AcNFS2yHlvs,"1. Standing up straight with feet shoulder width apart.
2. Holding the kettlebell in both hands in front of your pelvis, engage your shoulder blades, as if you are trying to touch them together.
3. Release the shrug and repeat"
Kettlebell Upright Row,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Traps/Kettlebell-Upright-Row,Traps,https://www.musclewiki.com/media/uploads/male-kettlebell-upright-row-front.gif,https://youtu.be/Xd-O1lQ_dcE,"1. Stand with your feet shoulder width apart holding the kettlebell with both hands in front of your thighs.
2. Bend forward at the hips bringing the kettlebell to the floor while you slightly bend your knees, keeping your back straight.
3. Lift the kettlebell upwards towards your chest and lower - repeat."
Traps Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Traps/Traps-Stretch-Variation-Three,Traps,https://www.musclewiki.com/media/uploads/male-traps-stretch-variation-3-front.gif,https://youtu.be/dNJo39Dd8xs,"1. Stand upright with your feet shoulder width apart.
2. Nod your head forward, bringing your chin to your chest.
3. You will feel the stretch across your neck."
Traps Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Traps/Traps-Stretch-Variation-Two,Traps,https://www.musclewiki.com/media/uploads/male-traps-stretch-variation-2-front.gif,https://youtu.be/mUQu23oL6ew,"1. Keeping your chest facing forward, turn your head 90 degrees to the left. Then return to centre point.
2. Stand upright with your feet shoulder width apart.
3. Repeat, turning your head in the other direction."
Traps Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Traps/Traps-Stretch-Variation-One,Traps,https://www.musclewiki.com/media/uploads/male-traps-stretch-variation-1-front.gif,https://youtu.be/A9-OQjF3KwY,"1. Stand upright with your feet shoulder width apart.
2. Place your left hand on your head and gently pull your head down towards your left shoulder. Then return to centre point.
3. Repeat, using your right hand pulling towards your right shoulder."
Elevated Pike Shoulder Shrug,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Traps/Elevated-Pike-Shoulder-Shrug,Traps,https://www.musclewiki.com/media/uploads/male-bodyweight-elevated-pike-shrug-front.gif,https://youtu.be/cCAJ4yTOUok,"1. Use a bench or an object like a chair to elevate your feet.
2. Slowly lower your body (scapula) while keeping your elbows locked (this is key)
3. Slowly raise your body back to the start position."
30 Degree Shrug,Cables,Beginner,https://musclewiki.com/Cables/Male/Traps/30-Degree-Shrug,Traps,https://www.musclewiki.com/media/uploads/male-cable-shrug-front.gif,https://youtu.be/d0WZOK63wHw,"1. Use a handle attachment on both sides of crossover. With cable attachment set all the way to the bottom.
2. Grab both handles and make sure you are centered in the machine. Let your arms hang freely.
3. Pull your shoulder blades up and in towards your ears. Let your shoulder blades depress back to the starting position."
Silverback Shrug,Cables,Beginner,https://musclewiki.com/Cables/Male/Traps/Silverback-Shrug,Traps,https://www.musclewiki.com/media/uploads/male-cable-silverback-shrug-front.gif,https://youtu.be/MO7rdfXwxQ8,"1. Use a bar attachment. Cable should be set all the way to the bottom.
2. Stand up with the attachment in hand, walk a couple of steps back make sure you are standing upright and not leaning backwards.
3. Retract your shoulder blades and then protract to return to the starting position."
Shrug,Band,Beginner,https://musclewiki.com/Band/Male/Traps/Shrug,Traps,https://www.musclewiki.com/media/uploads/male-band-shrug-side.gif,https://youtu.be/tlU_KK5tQu8,"1. Place the band under your feet. Stand upright.
2. Elevate your shoulder blades and then depress back to the starting position."
Dumbbell Shrug,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Traps/Dumbbell-Shrug,Traps,https://www.musclewiki.com/media/uploads/male-dumbbell-shrug-front.gif,https://youtu.be/uaCgj4Wpa2Y,1. Stand tall with two dumbbells. Pull your shoulder blades up. Give a one second squeeze at the top.
