exercise,equipment,difficulty,link,img_link,video_link,step
Cable Push Downs,Machine,Beginner,https://musclewiki.com/Machine/Male/Triceps/Cable-Push-Downs,https://www.musclewiki.com/media/uploads/male-cable-pulldowns-front.gif,https://www.youtube.com/watch?v=tEOhbUBIBwE%7C,"1. Grip the pulley bar with palms facing down at shoulder width.
2. Stand straight with a small forward incline. Keep your upper arms close to your body, and slowly bring the pulley bar down until your arms are fully extended.
3. Pause when you are at the contracted position of the motion, then slowly raise the pulley bar back to the starting point."
Bench Dips,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Triceps/Bench-Dips,https://www.musclewiki.com/media/uploads/male-bench-tricep-dip-front.gif,https://www.youtube.com/watch?v=Z2c02dbshBA%7C,"1. Grip the edge of the bench with your hands, Keep your feet together and legs straight.
2. Lower your body straight down.
3. Slowly press back up to the starting point.
4. TIP: Make this harder by raising your feet off the floor and adding weight."
Standing Tricep Extension,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Triceps/Standing-Tricep-Extension,https://www.musclewiki.com/media/uploads/kettlebell-male-tricepextension-front.gif,https://youtu.be/FDIB9zJjcjE,"1. Stand with legs shoulder width apart.
2. Hold the kettlebell in both hands behind your head.
3. Straighten arms bringing kettlebell above your head.
4. Return to the starting position and repeat."
Triceps Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Triceps/Triceps-Stretch-Variation-Three,https://www.musclewiki.com/media/uploads/male-strech-10-front.gif,https://youtu.be/50698xNT9uM,"1. Bend your left arm so your hand is at your shoulder, and hold your elbow with the opposite hand.
2. Gently push on your elbow so it is raised by your head.
3. Hold the stretch for a few seconds then repeat with the other arm."
Triceps Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Triceps/Triceps-Stretch-Variation-Two,https://www.musclewiki.com/media/uploads/male-strech-12-front.gif,https://youtu.be/GM7rO1GgGr0,"1. Hold a band so it is in line with your spine. Hold the top with your right hand and the bottom with your left.
2. Keeping the top still, pull down on the band.
3. Hold the stretch for a few seconds then repeat with the other arm."
Triceps Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Triceps/Triceps-Stretch-Variation-One,https://www.musclewiki.com/media/uploads/male-strech-9-front_BDXFiGR.gif,https://youtu.be/UFCLH__899A,"1. Use the opposite hand to gently apply pressure to the elbow.
2. Hold the stretch for a few seconds then repeat with the other arm.
3. Raise your left arm above your head, and bend at the elbow so your hand is resting at the top of your back."
Push Up,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Chest/Push-Up,https://www.musclewiki.com/media/uploads/bodyweight-male-pushup-side_eeaJGyM.gif,https://youtu.be/FA5KifI5IyU,"1. Place your hands firmly on the ground, directly under shoulders.
2. Flatten your back so your entire body is straight and slowly lower your body
3. Draw shoulder blades back and down, keeping elbows tucked close to your body
4. Exhale as you push back to the starting position."
Bodyweight Chest Dips,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Chest/Bodyweight-Chest-Dips,https://www.musclewiki.com/media/uploads/male-bodyweight-bench-chest-dips-side.gif,https://www.youtube.com/watch?v=AsK5U_vJ5eQ%7C,"1. Grip the edge of the bench with your hands, Keep your feet together and legs straight.
2. Lower your body straight down.
3. Slowly press back up to the starting point.
4. TIP: Make this harder by raising your feet off the floor and adding weight."
Diamond Push Ups,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Chest/Diamond-Push-Ups,https://www.musclewiki.com/media/uploads/bodyweight-male-diamondpushup-front.gif,https://youtu.be/NGI2BZGnUuA,"1. Position your index fingers and thumbs so they are touching, forming a diamond shape
2. Use a standard push up position
3. Lower your chest towards your hands, keep your elbows close to your body
4. Stop just before your chest touches the floor, then push back up to the starting position."
Cable Pushdown,Cables,Beginner,https://musclewiki.com/Cables/Male/Triceps/Cable-Pushdown,https://www.musclewiki.com/media/uploads/cable-male-pushdown-front.gif,https://youtu.be/nN9RyjlSm0A,"1. You can use any attachment for this. The cable should be set all the way at the top of the machine.
2. Make sure to keep your upper arm glued at your side. Extend your elbows until you feel your triceps contract."
Pushdown,Band,Beginner,https://musclewiki.com/Band/Male/Triceps/Pushdown,https://www.musclewiki.com/media/uploads/band-male-pushdown-front.gif,https://youtu.be/8lGePM05YTk,"1. Place the band just above eye level. Take a few steps away until the band is taut.
2. Push your hips back slightly. Extend and flex at the elbows."
Band Pushup,Band,Beginner,https://musclewiki.com/Band/Male/Chest/Band-Pushup,https://www.musclewiki.com/media/uploads/band-male-pushup-side.gif,https://youtu.be/3z4t_VQL-hs,"1. Loop the band around your mid-back. The ends of the bands should be around your hands between your thumb and pointer finger.
2. This exercise can be done from the knees or the toes depending on experience level.
3. Begin by breaking at the elbows until your upper arm is by your side. Then extend at the elbows back into the top position."
