exercise,equipment,difficulty,link,img_link,video_link,step
Leg Raises,Bodyweight,Intermediate,https://musclewiki.com/Bodyweight/Female/Abdominals/Leg-Raises,https://www.musclewiki.com/media/uploads/female-leg-raises-front.gif,https://www.youtube.com/watch?v=7RK5_cOEL4A%7C,"1. Lay on your back with your arms palms down on either side.
2. Keep your legs together and as straight as possible.
3. Slowly raise your legs to a 90° angle, pause at this position, or as high as you can reach your legs, and then slowly lower your legs back down."
Roll Outs,Machine,Intermediate,https://musclewiki.com/Machine/Male/Abdominals/Roll-Outs,https://www.musclewiki.com/media/uploads/AbRoller-Front-021316.gif,https://www.youtube.com/watch?v=EOC1gA5rXcA%7C,"1. Hold the Ab Roller with both hands and kneel on the floor with your feet up and crossed.
2. Slowly roll the ab roller straight forward, stretching your body into a straight position.
3. After a pause at the stretched position, start pulling yourself back to the starting position. This should be a slow and controlled movement."
Barbell Roll Outs,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Abdominals/Barbell-Roll-Outs,https://www.musclewiki.com/media/uploads/male-bb-front-rollout_TIYAuZr.gif,https://youtu.be/5zaNYdVMHZY,"1. Hold the Barbell with both hands and kneel on the floor with your feet up
2. Slowly roll the Barbell straight forward, stretching your body into a straight position.
3. After a pause at the stretched position, start pulling yourself back to the starting position. This should be a slow and controlled movement."
Barbell Landmine Side Bend,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Abdominals/Barbell-Landmine-Side-Bend,https://www.musclewiki.com/media/uploads/barbell-male-landminesidebend-side.gif,https://youtu.be/FSeXY4k4jYY,"1. Stand straight and hold the end of the Barbell
2. Keep your hips and shoulders facing forward, bend to one side slowly
3. Return to the upright position.
4. Switch hands and repeat."
Cable Wood Chopper,Cables,Intermediate,https://musclewiki.com/Cables/Male/Abdominals/Cable-Wood-Chopper,https://www.musclewiki.com/media/uploads/cable-woodchopper-male-side.gif,https://youtu.be/bGfuynqdCW4,"1. Set the cable at about nipple level. Use a handle attachment.
2. Face sideways, then rotate your torso with your arms extended against the resistance.
3. After completing your given number of reps, face the opposite direction and repeat."
Standing Crunch,Cables,Advanced,https://musclewiki.com/Cables/Male/Abdominals/Standing-Crunch,https://www.musclewiki.com/media/uploads/cable-standingcrunch-male-front.gif,https://youtu.be/hscS99_SKwY,"1. Use a double handle attachment and set the cable all the way to the top.
2. Face away from the cable tower and walk a few steps forward.
3. Push your hips back, and flex your abs.
4. Return to the starting standing position and repeat."
Wood Chopper,Band,Advanced,https://musclewiki.com/Band/Male/Abdominals/Wood-Chopper,https://www.musclewiki.com/media/uploads/band-male-woodchopper-side.gif,https://youtu.be/BMcxTkAonxc,no data
Crunch,Band,Intermediate,https://musclewiki.com/Band/Male/Abdominals/Crunch,https://www.musclewiki.com/media/uploads/band-male-crunch-front.gif,https://youtu.be/i4rcQm0SDc8,"1. Place the band at the highest anchor point you have available. Grab both ends of the band and fall into a kneeling position.
2. Push your hips back flexing at the spine.
3. Squeeze your abs and then extend at the hips and spine back to the starting position."
Dumbbell Woodchopper,Dumbbells,Advanced,https://musclewiki.com/Dumbbells/Male/Abdominals/Dumbbell-Woodchopper,https://www.musclewiki.com/media/uploads/male-dumbbell-woodchopper-side.gif,https://youtu.be/etl87SX_itM,"1. Stand with a shoulder width stance. Begin with the dumbbell near one of your quads.
2. Rotate at your upper spine to engage the obliques.
3. You can pivot your back foot to keep from generating too much torque at the knee."
Dumbbell Situp,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Abdominals/Dumbbell-Situp,https://www.musclewiki.com/media/uploads/male-dumbbell-situp-side.gif,https://youtu.be/LIq_YQqiOtY,"1. Lay flat on the ground with your spine neutral. Extend you arms so your fists are pointed at the ceiling.
2. Sit-up by flexing your abs. Continue to reach for the ceiling for the entire rep."
Russian Twist,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Abdominals/Russian-Twist,https://www.musclewiki.com/media/uploads/male-dumbbell-russian-twist-side.gif,https://youtu.be/w8JxoO3sSyg,"1. Sit on the floor and flex your knees and hips to a 90 degree angle.
2. Your feet should be hovering off the ground. (If that's too hard start with heels on the floor)
3. Rotate your upper spine to engage your obliques."
Plank Pullthrough,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Abdominals/Plank-Pullthrough,https://www.musclewiki.com/media/uploads/male-dumbbell-plank-pull-through-front.gif,https://youtu.be/rdpKCDFZR84,"1. Get into a plank position. Either from your knees or toes.
2. Start with the DB by your right hand. Reach with your left and pull the dumbbell to your left arm. Then repeat with the right."
Barbell Situp,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Abdominals/Barbell-Situp,https://www.musclewiki.com/media/uploads/male-bb-side-situp_fBUauNK.gif,https://youtu.be/iDflVxwqBvI,"1. Hold the bar with a slightly wider than shoulder width grip. Push the bar up toward the ceiling and maintain that elbow extension.
2. Flex your abs and sit-up. Aim to get your torso vertical while maintaining the barbell overhead."
