exercise,equipment,difficulty,link,muscle,img_link,video_link,step
Dumbbell Rear Delt Fly,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Shoulders/Dumbbell-Rear-Delt-Fly,Shoulders,https://www.musclewiki.com/media/uploads/male-dumbbell-rear-delt-fly-front.gif,https://youtu.be/NF0ihhXl-9k,"1. With dumbbells in either hand, bend your knees with your feet slightly bowed out. Arch your back above your knees, and start with the weights touching in front of your chest.
2. With bent elbows, raise your arms up to shoulder level, pausing at the at the end of the motion.
3. Slowly lower your arms back to starting position."
Face Pulls,Machine,Intermediate,https://musclewiki.com/Machine/Male/Shoulders/Face-Pulls,Shoulders,https://www.musclewiki.com/media/uploads/male-cable-face-pull-front.gif,https://www.youtube.com/watch?v=VNuQNxV-isQ%7C,"1. Facing the pulley, pull the weight towards you while keeping your arms parallel to the ground.
2. Pull your hands back to both sides of your head and hold the position.
3. Slowly return weight to starting position. Repeat."
Seated Rear Delt Fly,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Shoulders/Seated-Rear-Delt-Fly,Shoulders,https://www.musclewiki.com/media/uploads/male-dumbbell-seated-rear-delt-fly-front.gif,https://youtu.be/GA0ngGb-kL8,"1. With dumbbells in either hand, bend your knees with your feet slightly bowed out. Arch your back above your knees, and start with the weights touching in front of your chest.
2. With bent elbows, raise your arms up to shoulder level, pausing at the at the end of the motion.
3. Slowly lower your arms back to starting position."
Single Arm Rear Delt Fly,Kettlebells,Intermediate,https://musclewiki.com/Kettlebells/Male/Shoulders/Single-Arm-Rear-Delt-Fly,Shoulders,https://www.musclewiki.com/media/uploads/male-kettlebell-single-arm-rear-delt-fly-front.gif,https://youtu.be/tnlr_-FLqsQ,"1. Stand with your feet shoulder width apart holding the kettlebell with both hands in front of your thighs.
2. Bend forward at the hips bringing the kettlebell to the floor while you slightly bend your knees, keeping your back straight.
3. Bring one arm behind you and rest this arm on your back. With the other arm, hold the kettlebell at arms length close to the floor.
4. Swing the kettlebell out and up towards the side of your body and then return to centre. Repeat."
Long Lever Lateral Raise,Kettlebells,Intermediate,https://musclewiki.com/Kettlebells/Male/Shoulders/Long-Lever-Lateral-Raise,Shoulders,https://www.musclewiki.com/media/uploads/male-kettlebell-long-lever-lateral-raise-front.gif,https://youtu.be/8y3iz93y9u0,"1. Stand with feet shoulder width apart holding a kettlebell with one hand at your side.
2. Keeping your arm straight, swing the kettlebell up and out, away from your body to around head height, holding on to the kettlebell firmly so it does not change position in your hand.
3. Return to the starting position and repeat."
Elevated Pike Press,Bodyweight,Intermediate,https://musclewiki.com/Bodyweight/Male/Traps/Elevated-Pike-Press,Shoulders,https://www.musclewiki.com/media/uploads/male-bodyweight-pike-pushup-front.gif,https://youtu.be/xxWbfDg9oS0,"1. Use a bench or an object to elevate your feet.
2. Lower your head towards the floor by bending your elbows
3. Push through your hands and return to the starting pike position.
4. Repeat"
Rear Delt Fly,Cables,Intermediate,https://musclewiki.com/Cables/Male/Shoulders/Rear-Delt-Fly,Shoulders,https://www.musclewiki.com/media/uploads/male-cable-rear-delt-fly-side.gif,https://youtu.be/LWVCBHdzia4,"1. Use a handle attachment or no attachment at all. The cable should be set to the top.
2. Walk a few steps away with the cable coming from the opposing side of the working arm.
3. From there, your shoulders should horizontally abduct and adduct, while your elbows stay in a fixed position."
Upright Row,Cables,Advanced,https://musclewiki.com/Cables/Male/Traps/Upright-Row,Shoulders,https://www.musclewiki.com/media/uploads/male-cable-upright-row-side.gif,https://youtu.be/Wp9xxnBJ8cE,"1. Use a handle attachment with the cable set to the bottom of the machine.
2. Pull your elbows straight up toward the ceiling until the attachment is just below your chin then extend until your elbows are fully extended."
Face Pull,Band,Intermediate,https://musclewiki.com/Band/Male/Shoulders/Face-Pull,Shoulders,https://www.musclewiki.com/media/uploads/male-band-face-pull-front.gif,https://youtu.be/g1gJrtw8wAM,"1. Anchor the band at eye level. Take a few steps away until the band is taut.
2. Use an overhand grip with both hands. Pull the band to the bridge of your nose flaring your elbows out."
Horizontal Shrug,Band,Advanced,https://musclewiki.com/Band/Male/Traps/Horizontal-Shrug,Shoulders,https://www.musclewiki.com/media/uploads/male-band-horizontal-shrug-front.gif,https://youtu.be/mshW1_DPPig,"1. Anchor the band at shoulder height. Take a few steps away until the band is taut.
2. Retract your shoulder blades straight back in schools. Then protract to the starting position."
Lateral Raise,Band,Intermediate,https://musclewiki.com/Band/Male/Shoulders/Lateral-Raise,Shoulders,https://www.musclewiki.com/media/uploads/male-band-later-raise-side.gif,https://youtu.be/ttGV0KMcKWA,"1. Grab the band at shoulder width. Raise your arms straight out to the side.
2. The band should scrape against your shirt."
Single Arm Overhead Press,Band,Intermediate,https://musclewiki.com/Band/Male/Traps/Single-Arm-Overhead-Press,Shoulders,https://www.musclewiki.com/media/uploads/male-band-single-arm-overhead-press-side.gif,https://youtu.be/DwKYMoPXdVs,"1. Loop the band under one of your feet. The other end of the bed should be in your hand between your thumb and pointer finger.
2. Press the band straight up towards the ceiling. Until your elbow is fully extended."
Barbell Front Raise,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Shoulders/Barbell-Front-Raise,Shoulders,https://www.musclewiki.com/media/uploads/male-barbell-front-raise-side_tbJG13x.gif,https://youtu.be/fu7KGiYU5uA,"1. Stand tall with an overhand grip on the barbell. Raise your arms until your fists are around eye level.
2. Return to the start under control. This exercise is prone to using momentum when you begin to fatigue."
Barbell Overhead Press,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Shoulders/Barbell-Overhead-Press,Shoulders,https://www.musclewiki.com/media/uploads/male-barbell-overhead-press-front_OJMNLxU.gif,https://youtu.be/fwc913-Yrns,"1. Take a roughly shoulder width grip. There should be a straight line from your elbow to fist (vertical forearms).
2. Pull your chin back and press the weight toward the ceiling by extending at the elbow joint and flexing at the shoulder joint.
3. Press until your elbows are extended and push your head forward slightly.
4. Return to the start position with control. Pulling your chin back to allow the bar to pass your face safely."
